timestamp_ms,wire1_pin34,wire2_pin32
15096,53,0
15106,14,0
15116,80,0
15126,26,0
15136,80,0
15146,37,0
15156,78,0
15166,34,0
15176,81,0
15186,31,0
15196,80,0
15206,23,0
15216,74,0
15226,34,0
15236,83,0
15246,34,0
15256,80,0
15266,36,0
15276,81,0
15286,27,0
15296,70,0
15306,33,0
15316,80,0
15326,23,0
15336,74,0
15346,32,0
15356,80,0
15366,33,0
15376,80,0
15386,32,0
15396,77,0
15406,25,0
15416,81,0
15426,38,0
15436,81,0
15446,26,0
15456,73,0
15466,27,0
15476,80,0
15486,33,0
15496,78,0
15506,37,0
15516,80,0
15526,27,0
15536,77,0
15546,32,0
15556,80,0
15566,35,0
15576,75,0
15586,36,0
15596,82,0
15606,28,0
15616,83,0
15626,35,0
15636,85,0
15646,25,0
15656,81,0
15666,22,0
15676,81,0
15686,26,0
15696,80,0
15706,38,0
15716,86,0
15726,36,0
15736,83,0
15746,35,0
15756,86,0
15766,37,0
15776,85,0
15786,42,16
15796,93,12
15806,37,5
15816,80,2
15826,28,6
15836,86,0
15846,33,0
15856,91,3
15866,38,20
15876,91,17
15886,35,10
15896,82,14
15906,34,15
15916,90,78
15926,32,78
15936,89,64
15946,38,74
15956,93,82
15966,33,96
15976,94,86
15986,41,65
15996,83,43
16006,37,51
16016,90,36
16026,27,51
16036,90,64
16046,30,69
16056,90,48
16066,35,57
16076,86,80
16086,32,80
16096,90,65
16106,27,62
16116,87,53
16126,29,64
16136,95,131
16146,48,176
16156,100,147
16166,35,147
16176,99,132
16186,43,98
16196,96,95
16206,34,97
16216,91,125
16226,43,118
16236,96,83
16246,39,64
16256,93,62
16266,39,68
16276,90,43
16286,31,30
16296,91,44
16306,39,93
16316,86,78
16326,31,53
16336,90,66
16346,27,86
16356,90,80
16366,30,66
16376,99,80
16386,39,64
16396,90,93
16406,43,112
16416,105,106
16426,44,86
16436,106,108
16446,45,115
16456,102,102
16466,36,144
16476,103,128
16486,48,160
16496,112,163
16506,46,142
16516,110,155
16526,38,146
16536,105,145
16546,48,178
16556,107,145
16566,47,145
16576,96,119
16586,35,117
16596,96,95
16606,43,114
16616,99,106
16626,39,82
16636,98,76
16646,32,80
16656,97,58
16666,34,37
16676,86,42
16686,34,55
16696,87,49
16706,31,41
16716,93,33
16726,33,36
16736,95,39
16746,35,62
16756,97,46
16766,35,54
16776,92,49
16786,25,38
16796,95,60
16806,37,80
16816,98,80
16826,39,93
16836,102,111
16846,38,107
16856,101,71
16866,36,72
16876,98,79
16886,30,102
16896,97,89
16906,32,79
16916,91,84
16926,33,82
16936,95,81
16946,36,83
16956,98,80
16966,32,60
16976,94,48
16986,36,61
16996,99,89
17006,35,77
17016,97,81
17026,25,84
17036,100,114
17046,39,125
17056,101,96
17066,23,79
17076,86,58
17086,34,73
21595,108,0
21605,0,0
21615,127,0
21625,0,0
21635,125,0
21645,0,0
21655,126,0
21665,0,0
21675,119,0
21685,0,0
21695,129,0
21705,0,0
21715,130,0
21725,0,0
21735,128,0
21745,0,0
21755,122,0
21765,0,0
21775,127,0
21785,0,0
21795,128,42
21805,0,0
21815,129,0
21825,0,0
21835,127,15
21845,0,0
21855,128,0
21865,0,0
21875,129,0
21885,0,16
21895,129,16
21905,0,26
21915,130,16
21925,0,0
21935,117,0
21945,0,24
21955,130,25
21965,0,7
21975,128,6
21985,0,0
21995,118,0
22005,0,0
22015,128,14
22025,0,49
22035,130,37
22045,0,33
22055,131,29
22065,0,90
22075,135,116
22085,0,119
22095,139,141
22105,0,116
22115,140,145
22125,0,154
22135,130,146
22145,0,112
22155,135,102
22165,0,79
22175,133,70
22185,0,53
22195,131,64
22205,0,68
22215,127,66
22225,0,76
22235,130,64
22245,0,52
22255,120,30
22265,0,23
22275,128,26
22285,0,29
22295,130,31
22305,0,48
22315,130,48
22325,0,58
22335,128,48
22345,0,53
22355,126,50
22365,0,78
22375,130,64
22385,0,63
22395,131,71
22405,0,71
22415,131,84
22425,0,105
22435,126,102
22445,0,95
22455,133,77
22465,0,49
22475,129,34
22485,0,48
22495,134,47
22505,0,47
22515,132,51
22525,0,75
22535,131,64
22545,0,75
22555,137,101
22565,0,76
22575,134,80
22585,0,43
22595,132,39
22605,0,29
22615,131,34
22625,0,41
22635,123,63
22645,0,46
22655,131,38
22665,0,36
22675,124,48
22685,0,85
22695,123,65
22705,0,55
22715,117,48
22725,0,81
22735,131,79
22745,0,71
22755,133,60
22765,0,59
22775,132,55
22785,0,33
22795,127,21
22805,0,13
22815,129,10
22825,0,0
22835,129,2
22845,0,9
22855,128,6
22865,0,6
22875,122,16
22885,0,22
22895,126,29
22905,0,27
22915,132,18
22925,0,2
22935,130,0
22945,0,0
22955,118,0
22965,0,0
22975,128,3
22985,0,0
22995,126,12
23005,0,2
23015,126,19
23025,0,43
23035,132,42
23045,0,32
23055,129,21
23065,0,19
23075,134,18
23085,0,6
23095,123,0
23105,0,0
23115,130,0
23125,0,0
23135,130,0
23145,0,0
23155,125,0
23165,0,0
23175,127,0
23185,0,0
23195,128,0
23205,0,0
23215,128,0
23225,0,0
23235,130,0
23245,0,0
23255,128,0
23265,0,0
23275,129,0
23285,0,0
23295,122,0
23305,0,0
23315,128,0
23325,0,0
23335,130,0
23345,0,0
23355,131,0
23365,0,0
23375,130,0
23385,0,0
23395,123,0
23405,0,0
23415,130,0
23425,0,0
23435,128,0
23445,0,0
23455,118,0
23465,0,0
23475,128,0
23485,0,0
23495,125,0
23505,0,0
23515,125,0
23525,0,0
23535,126,0
23545,0,0
23555,120,0
23565,0,0
23575,121,0
23585,0,0
28094,85,0
28104,27,0
28114,74,0
28124,20,0
28134,74,0
28144,32,0
28154,89,0
28164,33,0
28174,85,0
28184,35,0
28194,78,0
28204,33,0
28214,86,0
28224,26,0
28234,86,0
28244,37,0
28254,87,0
28264,39,0
28274,90,0
28284,37,0
28294,81,0
28304,31,0
28314,86,9
28324,37,0
28334,83,0
28344,35,0
28354,79,0
28364,28,0
28374,81,0
28384,33,0
28394,80,0
28404,23,0
28414,81,0
28424,28,0
28434,83,9
28444,27,20
28454,90,39
28464,42,52
28474,90,80
28484,43,69
28494,87,67
28504,34,44
28514,85,49
28524,43,32
28534,82,27
28544,39,27
28554,81,10
28564,37,0
28574,80,1
28584,37,2
28594,83,16
28604,44,21
28614,75,16
28624,37,44
28634,89,39
28644,48,21
28654,86,25
28664,33,9
28674,83,15
28684,39,7
28694,80,0
28704,38,0
28714,83,5
28724,33,1
28734,84,46
28744,42,57
28754,79,64
28764,46,63
28774,79,55
28784,43,48
28794,78,63
28804,35,50
28814,80,34
28824,46,20
28834,84,31
28844,45,42
28854,85,37
28864,46,39
28874,77,32
28884,46,15
28894,87,31
28904,41,43
28914,82,39
28924,44,22
28934,80,19
28944,42,14
28954,80,0
28964,39,1
28974,80,0
28984,43,0
28994,80,0
29004,40,0
29014,71,0
29024,44,15
29034,80,17
29044,46,21
29054,80,15
29064,41,0
29074,76,1
29084,33,0
29094,77,17
29104,47,17
29114,70,39
29124,47,48
29134,80,45
29144,47,33
29154,69,34
29164,46,48
29174,80,38
29184,44,35
29194,76,41
29204,34,22
29214,76,39
29224,45,33
29234,69,73
29244,44,49
29254,81,68
29264,39,50
29274,80,80
29284,45,112
29294,84,107
29304,49,98
29314,81,80
29324,53,79
29334,81,70
29344,48,63
29354,80,69
29364,49,57
29374,73,53
29384,47,43
29394,78,7
29404,43,16
29414,78,41
29424,48,33
29434,80,21
29444,49,16
29454,76,48
29464,47,9
29474,76,13
29484,47,17
29494,79,16
29504,38,19
29514,75,3
29524,47,36
29534,80,17
29544,49,10
29554,78,11
29564,41,17
29574,75,13
29584,41,48
29594,73,37
29604,42,17
29614,74,12
29624,51,43
29634,79,34
29644,48,17
29654,70,23
29664,49,16
29674,75,30
